Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-DEC-2008,2979.8,3002.65,2937.35,2959.15,288826411,5707.75
30-DEC-2008,2922.55,2999.15,2899.75,2979.5,302749136,5819.5
29-DEC-2008,2857.15,2931.8,2812.9,2922.2,335171811,6367.55
26-DEC-2008,2919.85,2960.95,2844.8,2857.25,237935397,4558.9
24-DEC-2008,2967.4,2968,2900.45,2916.85,380460882,6975.71
23-DEC-2008,3039.25,3040,2957.05,2968.65,303129447,5705.38
22-DEC-2008,3077.25,3110.45,3027.8,3039.3,315828829,6101.36
19-DEC-2008,3063,3106.8,3036.3,3077.5,386314136,8344.82
18-DEC-2008,2955.35,3072.55,2922.65,3060.75,377032468,9042.19
17-DEC-2008,3040.45,3076.2,2943.5,2954.35,344614834,8567.6
16-DEC-2008,2983.6,3052.55,2963.3,3041.75,270617321,6893.06
15-DEC-2008,2917.9,3012.1,2917.9,2981.2,293737834,7133.08
12-DEC-2008,2915.35,2936.8,2812.55,2921.35,284387903,7103.03
11-DEC-2008,2934.05,2945.3,2861.55,2920.15,352245716,7844.91
10-DEC-2008,2785.7,2940.15,2785.7,2928.25,370599341,8130.79
08-DEC-2008,2714.7,2861.55,2714.7,2784,311403332,6951.99
05-DEC-2008,2786.65,2821.15,2701.35,2714.4,319248265,6448.61
04-DEC-2008,2656.5,2793.8,2646.35,2788,324695285,6538.53
03-DEC-2008,2657.5,2693.65,2611.95,2656.45,282545081,5912.82
02-DEC-2008,2672.9,2672.9,2570.7,2657.8,261046123,5651.31
01-DEC-2008,2755.15,2832.85,2669.5,2682.9,257834565,6122.02
28-NOV-2008,2745.7,2779,2690.3,2755.1,296322562,7237.78
26-NOV-2008,2652.45,2762.6,2643.35,2752.25,269948758,6429.24
25-NOV-2008,2708.3,2790.7,2638.2,2654,214273358,5619.27
24-NOV-2008,2690.85,2740.35,2633.8,2708.25,236797126,5998.79
21-NOV-2008,2553.6,2718.6,2539.8,2693.45,281247780,6700.25
20-NOV-2008,2634.2,2634.2,2502.9,2553.15,204791432,5330.61
19-NOV-2008,2682.75,2772.4,2617.9,2635,230509310,6447.35
18-NOV-2008,2802.45,2802.45,2664.3,2683.15,220347375,5742.53
17-NOV-2008,2813.4,2835.7,2694.5,2799.55,251219581,6367.92
14-NOV-2008,2848,2938.8,2778.8,2810.35,257081847,7423.62
12-NOV-2008,2937.9,2975.2,2794.95,2848.45,250791310,7010.66
11-NOV-2008,3147.2,3147.2,2919.45,2938.65,221654127,5857.01
10-NOV-2008,2973.3,3161.25,2973.3,3148.25,251108020,5985.46
07-NOV-2008,2893.25,3010,2860.1,2973,246638152,6140.33
06-NOV-2008,2998.45,3007.8,2860.25,2892.65,268176655,7178.24
05-NOV-2008,3155.75,3240.55,2971,2994.95,305687563,8531.19
04-NOV-2008,3050.25,3152.3,2985,3142.1,304637885,7478.44
03-NOV-2008,2885.4,3062.05,2885.4,3043.85,240443755,6642.53
31-OCT-2008,2696.3,2921.35,2696.3,2885.6,320836935,8963.96
29-OCT-2008,2685.3,2781.25,2631.9,2697.05,361640496,8164.76
28-OCT-2008,2526.2,2695.95,2526.2,2684.6,51206468,1038.24
27-OCT-2008,2583.75,2585.3,2252.75,2524.2,341552313,7012.78
24-OCT-2008,2936.25,2936.25,2525.05,2584,348595400,7843.42
23-OCT-2008,3064.8,3085.1,2917.15,2943.15,234116773,7270.91
22-OCT-2008,3234.7,3235.75,3051.8,3065.15,171324331,5622.57
21-OCT-2008,3125.4,3254.85,3117.35,3234.9,225718997,7448.58
20-OCT-2008,3108.2,3238.4,3058.95,3122.8,186324892,6544.53
17-OCT-2008,3269.05,3335.95,3046.6,3074.35,194265455,7053.18
16-OCT-2008,3333.85,3333.85,3099.9,3269.3,234077842,8631.26
15-OCT-2008,3517.9,3518.5,3324.55,3338.4,163717675,6602.25
14-OCT-2008,3494.1,3648.25,3491.5,3518.65,177533438,7429.54
13-OCT-2008,3272.9,3510.2,3272.9,3490.7,195385035,7706.83
10-OCT-2008,3502.05,3502.05,3198.95,3279.95,283977364,10857.92
08-OCT-2008,3604.4,3604.4,3329.45,3513.65,228575994,8649.95
07-OCT-2008,3606.95,3732.65,3537,3606.6,210246893,8291.13
06-OCT-2008,3817.3,3820.85,3581.6,3602.35,157489980,6565.56
03-OCT-2008,3953.55,3969.55,3804.85,3818.3,172679745,7919.46
01-OCT-2008,3921.85,4000.5,3861.25,3950.75,149863209,6448.37
30-SEP-2008,3848.7,3966.85,3715.05,3921.2,217095428,9659.09
29-SEP-2008,3990.2,3997.55,3777.3,3850.05,187237452,8386.98
26-SEP-2008,4108.75,4110.7,3970.35,3985.25,133851369,5968.78
25-SEP-2008,4162.15,4172.6,4077.5,4110.55,217958856,9235.83
24-SEP-2008,4125.75,4207.95,4115.85,4161.25,156072253,7260.87
23-SEP-2008,4223.9,4224.7,4117.9,4126.9,125527290,6237.87
22-SEP-2008,4248.95,4303.25,4202.4,4223.05,137082447,6859.81
19-SEP-2008,4040.8,4262.65,4040.8,4245.25,206052260,10221.99
18-SEP-2008,4005.25,4050.1,3799.55,4038.15,203882671,10125.95
17-SEP-2008,4074.8,4116.7,3974.6,4008.25,153414046,7674.9
16-SEP-2008,4072.55,4090.1,3919.35,4074.9,159518028,7727.19
15-SEP-2008,4231.95,4237.25,3955.4,4072.9,147158815,7114
12-SEP-2008,4291.6,4323.9,4200.15,4228.45,145748456,7980.37
11-SEP-2008,4397.25,4399.3,4272.75,4290.3,116723061,6537.95
10-SEP-2008,4467.5,4467.5,4382.35,4400.25,134790277,6781.74
09-SEP-2008,4485.15,4497.5,4418.95,4468.7,95544721,5488.2
08-SEP-2008,4358.3,4558,4358.3,4482.3,117351175,6615.67
05-SEP-2008,4444.7,4444.7,4328.9,4352.3,108583037,6126.78
04-SEP-2008,4512.95,4514.6,4419.45,4447.75,114713208,6535.5
02-SEP-2008,4358.85,4522.4,4343.1,4504,129292702,6921.58
01-SEP-2008,4356.1,4365,4281.35,4348.65,82996531,4220.01
29-AUG-2008,4230.6,4368.8,4230.6,4360,111455760,5593.43
28-AUG-2008,4290.75,4304.5,4201.85,4214,161197240,7578.62
27-AUG-2008,4336.85,4364.25,4282.65,4292.1,84380597,4599.49
26-AUG-2008,4335.2,4345.05,4283.3,4337.5,86937484,4775.57
25-AUG-2008,4317.95,4398.8,4317.95,4335.35,79239792,3884.68
22-AUG-2008,4283.85,4337,4248,4327.45,101435362,5226.24
21-AUG-2008,4416.2,4418.55,4271.3,4283.85,91313625,4323.68
20-AUG-2008,4365.45,4434.9,4365.45,4415.75,89434446,4425.1
19-AUG-2008,4393.1,4393.7,4316.55,4368.25,96476193,4516.55
18-AUG-2008,4430.7,4447.4,4379.85,4393.05,96897991,4985.84
14-AUG-2008,4524.2,4529.8,4421.25,4430.7,95028617,5504.9
13-AUG-2008,4548.05,4572.65,4497.25,4529.05,105825121,5839.48
12-AUG-2008,4620.95,4649.85,4525.75,4552.25,123375933,7422.01
